,acode,Month,total,airport,city,state,country,lat,long,delayed,fpm,dpf
1876,ORD,8,953477,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,31507,30.26238614
1874,ORD,4,820775,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,29119,28.18692263
1877,ORD,7,816617,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,31090,26.26622708
1880,ORD,6,749908,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,29785,25.17737116
117,ATL,6,706857,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,1,21752,32.49618426
685,DFW,6,629087,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,1,27050,23.25645102
682,DFW,2,613634,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,1,25279,24.27445706
1870,ORD,5,605087,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,30267,19.99164106
681,DFW,8,569504,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,1,28072,20.28726133
1879,ORD,2,565650,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,26730,21.16161616
677,DFW,3,550125,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,1,28035,19.62279294
1878,ORD,3,466984,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,29782,15.68007521
122,ATL,7,461008,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,1,22391,20.58898665
111,ATL,3,456637,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,1,22114,20.64922673
674,DFW,9,434854,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,1,25145,17.29385564
1872,ORD,1,432245,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,29533,14.63600041
1955,PHX,2,431385,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556,1,14819,29.11026385
121,ATL,8,422942,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,1,22644,18.67788377
666,DEN,7,421013,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,1,12404,33.94171235
1960,PHX,3,414223,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556,1,16493,25.11507912
1957,PHX,1,405718,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556,1,16481,24.61731691
679,DFW,1,390521,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,1,28114,13.89062389
1374,LAX,3,384833,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,1,20452,18.81639937
1371,LAX,2,384065,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,1,18505,20.7546609
119,ATL,2,383789,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,1,19842,19.34225381
675,DFW,7,376665,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,1,27854,13.52283335
1873,ORD,9,372348,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,28402,13.10992184
1881,ORD,10,369562,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,25884,14.27762324
1370,LAX,1,362138,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,1,20635,17.54969712
114,ATL,1,351688,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,1,22377,15.71649462
1875,ORD,12,342882,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,1,25022,13.70322117
671,DEN,6,334224,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,1,11987,27.88220572
304,BOS,6,329313,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,1,12051,27.3266119
